,PID,Latitude,Longitude,priceperarea,nn5meanprice,nn5medprice
0,526350040,42.052806,-93.619783,117.1875,121.07556980517525,124.82319660537482
1,526351010,42.05269954061322,-93.61883290722687,129.42061700526708,126.20427690972895,124.82319660537482
2,526351030,42.052681,-93.618734,124.82319660537482,127.12376098970739,129.42061700526708
3,526351100,42.051488392159044,-93.61952556769371,109.48396094839607,121.52511954580193,124.82319660537482
4,526301100,42.053808000000004,-93.618344,129.83091787439614,125.95316515412185,124.82319660537482
5,526302030,42.053668,-93.618459,115.93194122196442,129.65244456458666,129.83091787439614
6,526302040,42.053578345205075,-93.61827582597935,153.80859375,121.15762997900106,124.82319660537482
7,526302110,42.05284062808919,-93.61863289727208,141.156462585034,123.60599603816846,124.82319660537482
8,526302120,42.05285252734814,-93.61867770937496,94.04563160823595,133.2792739891352,129.42061700526708
9,526352080,42.051405219787505,-93.61846536488972,105.41902961562694,116.90079241665362,115.63981042654028
10,526352090,42.051454699645845,-93.61846427481623,130.7752545027408,116.95732292024104,115.63981042654028
11,526353030,42.05135967551003,-93.61727860987577,115.63981042654028,114.06881244985968,109.48396094839607
12,526353050,42.0382834,-93.6107034,112.18705715635332,114.23546992551692,126.37837837837836
13,527105010,42.060506142537406,-93.63897608080792,116.57458563535911,119.14504476057682,117.84825870646765
14,527105030,42.06060596602949,-93.63895655012466,121.88279301745636,118.08340328415738,117.21611721611721
15,527105050,42.061309909266356,-93.63904900420931,116.89526184538653,119.57683154776961,120.327868852459
16,527105060,42.06135245463318,-93.63905850210465,120.327868852459,115.43228031803105,117.21611721611721
17,527105070,42.059945836734684,-93.63922063265306,117.84825870646765,117.17450213046057,117.21611721611721
18,527105130,42.06081248688972,-93.64015721921795,118.26544021024965,123.47799388670569,128.9456010745467
19,527105140,42.06085597027575,-93.64016214507029,129.8326601269475,121.16454990336611,118.72309899569584
20,527106010,42.06150951715559,-93.63794834427313,99.28443649373881,117.13312227248191,116.89526184538653
21,526354020,42.05034167989689,-93.61746741627456,103.7817396002161,109.93370324435895,109.76158344579396
22,526354070,42.0493637483811,-93.6174714724021,97.96401515151516,119.83658549449649,110.87912087912089
23,526355080,42.04929427138124,-93.61548374429668,127.58875739644972,112.76100044913065,104.77515067222996
24,526355170,42.04956606736796,-93.61723704898948,109.76158344579396,120.89753943206122,120.88407758231844
25,526355190,42.05032721169686,-93.61724350546999,120.88407758231844,113.03777643428342,109.76158344579396
26,527106050,42.06079867245493,-93.63774189850938,112.24489795918369,110.76662337688583,106.87022900763357
27,527132090,42.06152173624419,-93.63324758470863,162.3815967523681,148.0097712301917,146.3490099009901
28,527140090,42.06055687660365,-93.63422767405338,134.62976813762157,141.59469205333488,147.38406658739598
29,527145080,42.060443476745036,-93.63405060531882,149.609375,137.37245133038556,140.625
30,527145090,42.060465939125045,-93.63403035217894,140.625,139.16932633038556,147.38406658739598
31,527106140,42.06062507997717,-93.63872709215755,121.88279301745636,116.96273113470059,116.89526184538653
32,527106150,42.06058064266129,-93.63873212472623,117.21611721611721,119.01673844442521,117.84825870646765
33,527107010,42.0603486959744,-93.637452348362,105.74572127139365,112.06645871444383,112.24489795918369
34,527107020,42.0603177838976,-93.63745039344806,101.73548773189708,112.86850542234313,112.24489795918369
35,527107030,42.0602868718208,-93.63744843853412,125.16688918558077,108.1822251316064,106.87022900763357
36,527107040,42.06053909361631,-93.63693627207762,106.87022900763357,113.05099700549381,114.31478968792402
37,527107090,42.06095352056197,-93.63584734952137,128.5404624277457,117.23658020932942,120.40816326530613
38,527107120,42.06144056645819,-93.63567652931792,113.73873873873873,121.70019562453444,121.02351313969572
39,527107130,42.06162008936728,-93.63567359736632,116.09336609336609,121.22927015360897,121.02351313969572
40,527107210,42.060798299999995,-93.6364315,121.02351313969572,114.40592338291701,116.6907514450867
41,527107240,42.060798299999995,-93.6364315,122.43547319655858,114.12353137154443,116.6907514450867
42,527108030,42.06307910504616,-93.6365950606024,121.12403100775194,148.22667695801553,135.93518060366156
43,527108040,42.063104345830546,-93.63661639084272,133.2037756801777,145.8107280235304,135.93518060366156
44,527108060,42.063154,-93.63665999999999,139.6925858951175,151.68170196283774,135.93518060366156
45,527108070,42.06323938268836,-93.63647038268834,216.20847651775486,136.37852383831026,135.93518060366156
46,527108090,42.06318167099153,-93.63640760866966,135.93518060366156,152.43318302112894,139.6925858951175
47,527110020,42.06067429287489,-93.63712424040321,114.31478968792402,110.35264503113777,106.87022900763357
48,527110080,42.060798299999995,-93.6364315,120.40816326530613,114.52899335779492,116.6907514450867
49,527110120,42.060798299999995,-93.6364315,105.625,117.48562601085614,120.40816326530613
50,527110130,42.060798299999995,-93.6364315,116.6907514450867,115.2724757218388,120.40816326530613
51,527126030,42.063184675,-93.634378025,151.93704600484259,158.2599011868256,159.56651718983557
52,527127100,42.0630284,-93.63328,148.69151467089608,164.19829068335622,162.3815967523681
53,527127140,42.0630284,-93.63328,179.5354676710609,158.02950008332326,159.56651718983557
54,527127150,42.0630284,-93.63328,159.56651718983557,162.0232901795683,162.3815967523681
55,527131030,42.06221430156738,-93.63419894544032,167.5708257986739,157.98593833731272,151.93704600484259
56,527131110,42.061503539342155,-93.63353181710464,147.38406658739598,150.3112401179307,146.3490099009901
